id	title	description	publishedAt	defaultLanguage	country	viewCount	subscriberCount	videoCount
UCAtauRqVcqxBk6Msz6TfTnQ	"Zdravlje 69"		2018-10-06T08:15:08Z		HR	33059470	207000	247
								
UCIIMBF5bE6dmjLBLug7fzUQ	"Mashin' the Beauty"	"For business enquiries, please contact: mashinthebeauty@gmail.com Facebook-- https://www.facebook.com/mashinthebeauty Snapchat- mashinthebeauty Instagram- https://instagram.com/mashinthebeauty/ Web: www.mashinthebeauty.com Moje ime je Maša. Magistar sam struke novinarstva. Bavim se YouTube-om i vođenjem društvenih mreža od 2013. godine. Sve je krenulo kao hobi, a danas je ovo moj posao i životna strast. Volim stvarati kvalitetan video sadržaj i fotografije. Inspiracija prilikom odabira tema mojih videa su šminka, moda i ljepota, a putovanja su moja posebna strast. Cilj sadržaja kojeg stvaram je da se ljudi s njime povežu i osjete bliskost te u konačnici i inspiriraju."	2013-08-29T08:40:46Z		HR	17214628	85100	490
UCBiibN6h4QkW6hAYYloasSg	"Marco Cuccurin"	"🥥Hej, diva s vama! Dobrodošli na Marco Cuccurin kanal :) 🥥Kanal na kojem ćete vidjeti hrpetinu zabave, kuhanje, pjevanja, beauty videa i ozbiljnih tema i savjeta. 🥥Dio sam najveće YouTube platforme u Hrvatskoj te radim s vrhunskim producentima i na dnevnoj bazi usavršavam svoje YouTube znanje . 🥥Hvala Vam što se posjetili kanal i pretplatili se , za Vas je to sekunda vremena , a meni znači mnogo :) #kokosici 🥥 #diva💃 Član LYD Team-a https://www.instagram.com/lyd.channel/"	2016-03-29T14:49:28Z		HR	21229878	101000	159
UCdTQmULoNrzlMmLsaHn2U_g	Paklara	"Paklara, ali i gospodin. Na kanalu možete pogledati serijale poput Sanhok izazov, PUBG Novosti, Kako Balkanci igraju PUBG i ostale videozapise vezane uz #pubg Mobile i Lite."	2017-01-01T22:23:20Z		HR	25862637	91400	222
UCMNltXN6fWur0K8Z1oubFPA	LaudatoTV	"Laudato.hr je dio Grupe Laudato koja je osnivač istoimene galerije, web portala i obiteljske televizije Laudato TV, a izrasla je iz udruge 'Ime dobrote'. Laudato kroz sva tri kanala okuplja publiku koja priželjkuje dobro i bolji svijet. Tako svakodnevno nudi široku lepezu informacija s posebnim naglaskom na pozitivne vijesti i obitelj, vijesti iz života Crkve i svijeta, ali i iz područja kulture, glazbe, sporta i gastronomije s naglaskom na domaću riječ. Uz vijesti i prijenose uživo iz Vatikana, jedini u Hrvatskoj donosi vijesti iz Svete Zemlje. Popularne rubrike poput internetske propovijedi, Misli dana ili Kalendara izrasle su u televizijske emisije koje se rado prate i na malim ekranima. Laudato je kao nakladnik zaslužan i za afirmaciju duhovne glazbe koja je putem portala i Laudato TV-a doprijela do šireg auditorija i sada već tradicionalnog koncerta '(Pro)gledaj srcem', glazbeno-duhovni spektakl čije je posljednje izdanje posjetilo osamnaest tisuća ljudi."	2011-04-19T13:09:47Z		HR	44989540	109000	10035
UCZh-XESy8HkmvfhoPWRCehw	"Campus Records"	"Campus d.o.o. __________________________________________________________________________________________________ Adresa: Gračanske dužice 2, 10000 Zagreb Tel/fax: + 385 1 462 3333 E-mail: campus@campus.hr; info@campus.hr Official web stranica: www.campus-records.com"	2013-04-03T13:09:18Z		HR	164511288	92200	351
UCL8VK9PGVB7M4-32QI2i7bg	"Leonardo Lamon"	"na 100k subscribera ide VELIKI SPECIJAL!!"	2014-06-21T18:10:17Z		HR	5931436	84700	180
UC7Y-C7E6wrmlYOPrW7hxxRA	Danči	"Jednostavno osoba koja obožava da snima klipove i kojoj je ljudski osmijeh najbitnija stvar u životu! ŠTO NAJVIŠE VOLIM? Obožavam igrice, zabavu , vaš osmijeh i naravno ovo što radim! KOJI JE MOJ CILJ? Da pređem vlastite granice i da vam uljepšam dan! ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ CILJEVI ██ 10 SUB ✔ ███ 50 SUB ✔ ████ 100 SUB ✔13.11.2017. █████ 1000 SUB ✔ 3.9.2018 (NAJJAČI STE) ██████ 5000 SUB ✔ 13.8.2019 ███████ 10.000 SUB ✔ 11.11.2019 ████████ 50.000 SUB ✔ 18.6.2020 █████████ 100.000 SUB ✔ 13.8.2021 ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ SPECIFIKACIJE : Procesor: Intel Core i7 7700 3.8 - 4.2 GHZ Matična: GIGABYTE BN50M D3H Grafička kartica: Asus GTX 1060 6gb RAM: 16 GB DDR4 HDD: 500 GB SSD: 120 GB & 250 GB Mikrofon: Rode NT1 & AI-1 Kamera: Canon 250D ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ © 2021 Danči™ 13+ Videos on this channel might contain themes, topics and mature language, therefore they are not recommended for people under 13!"	2016-10-15T13:11:07Z		HR	26320155	137000	529
UCsx9CRFtOozN4y-U1mMeNBw	"Bruno Lukic"	"Yoo! Običan lik od 19 godina koji se pokušava zabaviti na svaki mogući način dok snima vlogove."	2014-10-11T17:17:27Z		HR	11552507	80800	156
