id	title	description	publishedAt	defaultLanguage	country	viewCount	subscriberCount	videoCount
UCF6q_hEyzJZNfD7YBtuRZaw	"Zoran Misic"	"Welcome to Zoran's Official YouTube Channel"	2009-09-26T18:59:35Z		HR	5288971	3860	35
UCRfQEuxBrr1dQo8rnh0OSZw	Opuzenka	"PRIMADONA ASSOLUTA - TEREZA"	2007-01-20T10:10:50Z		HR	6688977	4170	1091
UC2BLlajIANCtPw9BaBiWq9Q	"Captain Geronimo"	"It's your Captain here - bringing new Star Trek Online gaming STO has focus on: ship reviews, mission walktroughs, tutorials, live streams and more.. If you like what you see - hit subscribe to become a crewman."	2012-10-10T10:49:03Z		HR	934522	4340	369
								
UCn5w4Kcvm-cMERimO1B7nPA	Ryanam	god	2018-07-29T21:09:42Z		HR	80679	3430	6
UCcGlR5KrL5ro56ZBxKFA2SQ	"Clout Zone"	"Svi imamo poruku koju vrijedi širiti, želimo pomoći vašoj poruci da dopre do ljudi koji je trebaju čuti. Koristimo TikTok videozapise raznih ljudi i radimo kompilacije za dijeljenje pozitivnosti, smijeha i cjelokupne zabave. Ako želite biti u videu, pošaljite svoj TikTok video putem e-maila (tiktokbalkan.info@gmail.com). Ako mislite da je ovaj kanal za vas, pretplatite se! Vidimo se u novom videu! ✌️"	2019-11-26T18:29:55.908158Z		HR	595990	3510	28
UCQJMHyZHrlvYmZcaPojY2aA	"DEDZAGOREC JOSIP JURINJAK"	"STARI SASTAVI NA www.muzikasi.eu MUZIKA 24 SATA NA DAN: www.radiozagorje.eu https://www.muzikasi.eu/ SAMO STARA ZAGORSKA, PODRAVSKA, PRIGORSKA, POSAVSKA, MOSLAVAČKA I SLAVONSKA MUŽIKA Kontakt: muzikasi@gmail.com"	2012-03-22T09:25:46Z		HR	4901339	4310	231
UCuDUkaSIgGJK2xi3Ou0ML-g	HZCAR-Croatia/trains	"Hrvatske željeznice ili skraćeno HŽ naziv je za javno prometnu holding tvrtku za upravljanje željezničkom infrastrukturom, te za javni, putnički i teretni prijevoz u Republici Hrvatskoj. Hrvatske željeznice su osnovane 1990. iz bivše JŽ Zagrebačke Divizije. Vozni park je inicijalno bio onaj zatečen u vrijeme raspada Jugoslavije. S vremenom je moderniziran, a trenutačno se vrši daljnja modernizacija. Hrvatske željeznice imaju u svom sastavu također tri paneuropska koridora: ogranak Koridora X, i kodridor V, ogranke b i c. Koridor X: Ovaj koridor povezuje Republike Sloveniju i Srbiju, koridor X je najvažnija pruga u cijeloj Hrvatskoj. Koridor Vb: Republika Mađarska - Botovo - Koprivnica - Dugo Selo - Zagreb - Karlovac - Rijeka Koridor Vc: Republika Mađarska - Beli Manastir - Osijek - Đakovo - Strizivojna-Vrplje - Slavonski Šamac - Republika Bosna i Hercegovina - Luka Ploče."	2011-05-13T16:33:37Z		HR	2183253	4000	556
UC0mVnB-hs1rBFMSuWx427Sg	BCko	"Counter Strike: Global Offensive player from Croatia. Facebook: https://www.facebook.com/bckogaming"	2013-11-10T22:15:08Z		HR	883421	3460	94
UCoBV2BqMD4_QTzlhrcWworw	varosanin88	"Balun, Hajduk i tako to..."	2006-12-11T19:43:35Z		HR	3706202	4020	83
