"";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"1142";"GRUMPY GUY GAMING";"Gaming";684;698;120000;"2021-05-18";"http://www.youtube.com/channel/UCFGSZ1NFi33N0FzzYcC7-Fg"
"1143";"El_Campo";"Gaming";684;226;29900;"2021-04-27";"http://www.youtube.com/channel/UCE0zaZRW7SyOmxfcU4_6dpg"
"1144";"Ris Ronwood";"Autos & Vehicles";679;81;1510000;"2021-05-09";"http://www.youtube.com/channel/UC50qZdf6_kFpIum5h0LelOg"
"1145";"Crkva Metanoia";"Education";665;157;113000;"2021-05-09";"http://www.youtube.com/channel/UCXm67tKmJ9SRsB7czL8eL8w"
"1146";"Kuletova Igraonica";"Gaming";664;713;63900;"2021-05-07";"http://www.youtube.com/channel/UCd9yQOfxyEHe42WynxXVQ9w"
"1147";"Balkanski Kamiondžija";"Gaming";664;177;16400;"2021-05-04";"http://www.youtube.com/channel/UCjz-7McAtCHHskppq7Vc_gw"
"1148";"enduro CRO";"Sports";658;76;108000;"2021-06-15";"http://www.youtube.com/channel/UCrIMgk06fuFNgxS8yszKAFQ"
"1149";"kiki k";"People & Blogs";656;28;147000;"2020-12-14";"http://www.youtube.com/channel/UCirroS8caRiFWBf_Rj_XzZQ"
"1150";"DoktorX";"Gaming";644;11;1540;"2021-02-06";"http://www.youtube.com/channel/UCw5zYCRYmVJplwf2DJDT4RQ"
"1151";"Rafaela Perasinic";"Howto & Style";639;45;26500;"2021-04-26";"http://www.youtube.com/channel/UCxvyTHwwtDwes_IsYqCPZDA"
"1152";"Damir Medurecan";"Travel & Events";638;147;1230000;"2021-06-23";"http://www.youtube.com/channel/UCC9WEDb1nTLv3kV8Liki4eg"
"1153";"Saša Hegol";"Gaming";634;199;145000;"2021-04-22";"http://www.youtube.com/channel/UC5DmVA3PxCUA2z9PhUwvHzA"
"1154";"Burrb C";"Gaming";628;89;340000;"2021-05-31";"http://www.youtube.com/channel/UC_6LmJEz_NCaIgvZyBYkFPQ"
"1155";"Awesome Drone Videos";"Film and Animation";627;31;175000;"2017-08-30";"http://www.youtube.com/channel/UCaFHSOaRdk-Y238Nb2wTmqw"
"1156";"Discovery film";"Film and Animation";613;246;788000;"2021-04-27";"http://www.youtube.com/channel/UCKUSjnO5KLloCOGhAfbDLng"
"1157";"Daniela Èotiæ";"People & Blogs";610;30;93200;"2021-05-14";"http://www.youtube.com/channel/UCNr0acz0hMwFPy9EnyTa9Aw"
"1158";"OnajDjeèak";"Music";598;303;235000;"2021-03-10";"http://www.youtube.com/channel/UCTKukLx1gS2XytnIaPF96ZA"
"1159";"Strode Design Studios";"Howto & Style";593;100;33100;"2021-05-20";"http://www.youtube.com/channel/UCAt9zP7v7STaRd7bkxPopPA"
"1160";"Grad Pula";"News & Politics";589;1607;661000;"2021-05-05";"http://www.youtube.com/channel/UCJTR5NW9CPORjBdw-nJYKDg"
"1161";"Orionskate";"Comedy";584;217;188000;"2021-05-17";"http://www.youtube.com/channel/UC_YcI_dxCXs7_1aaLU_uT3Q"
"1162";"Marin Lasiæ";"Autos & Vehicles";581;23;175000;"2021-02-01";"http://www.youtube.com/channel/UCMZaeSJsuDgIiJUxORUjxVg"
"1163";"Lukavi Lisac";"Comedy";563;83;68300;"2021-06-21";"http://www.youtube.com/channel/UCWy3iGtEXpD9R6OlHtCxhsQ"
"1164";"musava_ribica";"Gaming";562;25;350000;"2021-03-19";"http://www.youtube.com/channel/UCLtX-6aeUi-Av6ocKcDwQYA"
"1165";"MOTORCYCLE CROATIA";"Sports";560;48;44300;"2021-02-24";"http://www.youtube.com/channel/UC566EX-DWKGrLhxm3DgK17w"
"1166";"Ivan Ljubesic";"Music";545;70;512000;"2021-05-15";"http://www.youtube.com/channel/UCip6dgf4FhM4ZBrj-V09r-g"
"1167";"Anuradha Antonija Karuza";"Entertainment";543;44;51100;"2020-10-23";"http://www.youtube.com/channel/UCDnaw-nh3FzSbTrYZdS0TIA"
"1168";"Sprue Fascination Channel";"Howto & Style";542;33;29500;"2021-03-20";"http://www.youtube.com/channel/UCAHzjArfwXhrXz0NHAfYWWA"
"1169";"P1xel";"Gaming";536;212;25300;"2021-04-24";"http://www.youtube.com/channel/UC3OGEn2nSBnCurbNxw-Qq-w"
"1170";"Jopa";"Gaming";524;410;22600;"2021-05-09";"http://www.youtube.com/channel/UCIYw8GStRi2aa0IBfyesaIQ"
"1171";"K1k1";"Gaming";508;103;19800;"2021-01-08";"http://www.youtube.com/channel/UCxd7EWylvLUXe5FIALWt8dQ"
"1172";"DiamondDoesStuff";"Entertainment";502;102;82600;"2021-05-17";"http://www.youtube.com/channel/UCFOAyd9XBaDl2km6ft9-3-w"
"1173";"Crkvena zvona HR";"Science & Technology";500;267;461000;"2021-05-30";"http://www.youtube.com/channel/UCDnmfQ3HKM0LtAxYQEKw-Gg"
"1174";"Island Krk";"Travel & Events";499;64;242000;"2021-04-09";"http://www.youtube.com/channel/UCQERNqFdFvR2EgDxos9WDZQ"
"1175";"VanessaAnd Caden";"Film and Animation";498;218;60400;"2021-04-22";"http://www.youtube.com/channel/UC2PL8eFY1iwLgO420B2g1TQ"
"1176";"Rail Cro";"Autos & Vehicles";488;132;40200;"2021-04-28";"http://www.youtube.com/channel/UCuQBpFGmPlat3Zi1MCyWMSA"
"1177";"D3ky";"Gaming";487;62;5590;"2021-02-04";"http://www.youtube.com/channel/UCMwPHD_cQPUkwGsQjFyZqQw"
"1178";"lelo";"Gaming";486;132;18400;"2021-05-02";"http://www.youtube.com/channel/UCDgXL_kHrdjWKwl3rdC4bzQ"
"1179";"Harmonikaš Josip Maestro";"Music";481;241;138000;"2021-05-10";"http://www.youtube.com/channel/UCGCy7pPHU8HE2Y_aBHutxnw"
"1180";"K. K.";"Film and Animation";473;264;163000;"2021-05-02";"http://www.youtube.com/channel/UCoK8NrxljuMQRtNth-DX-cQ"
"1181";"iRobot Hrvatska";"People & Blogs";472;60;1050000;"2021-05-06";"http://www.youtube.com/channel/UCGco7Q_X7BluJpcGxGENu2A"
"1182";"Enigmalex";"Science & Technology";471;84;449000;"2021-04-23";"http://www.youtube.com/channel/UC0EpYUtwBS76tI4JTaXjA0Q"
"1183";"TimeLapseFS";"Gaming";468;110;23900;"2021-05-02";"http://www.youtube.com/channel/UCyx-yHctHOfw2M2lLcxK3MA"
"1184";"Diskage";"Music";467;16;35600;"2021-03-06";"http://www.youtube.com/channel/UCG9f0qiQ3KGwbQpUsyUw9Mw"
"1185";"Park Sessions";"Music";465;160;101000;"2021-01-29";"http://www.youtube.com/channel/UCWFWLyC_-QAqmFEW6j_UpYA"
"1186";"tomke3sgte";"Gaming";464;504;441000;"2020-12-28";"http://www.youtube.com/channel/UCDHAlqNozPS3d9NDZ09wqxg"
"1187";"MegaBallRoll";"People & Blogs";461;404;32800;"2021-05-08";"http://www.youtube.com/channel/UCfRNt_48Sf7fkjF-MuxLljA"
"1188";"Bullet Official";"Music";458;14;21900;"2021-03-04";"http://www.youtube.com/channel/UC5R02pNip-Ykd4BvL3V6C8g"
"1189";"Essu";"Music";450;65;92800;"2021-05-12";"http://www.youtube.com/channel/UCVHEVk0BzW4vTHTIYfpKiHQ"
"1190";"LovrouX";"Gaming";449;6;4280;"2020-12-21";"http://www.youtube.com/channel/UCaBCN0T4_JwFrUOpliWOFlQ"
"1191";"DoktorZaGaming";"Gaming";447;90;12400;"2021-03-19";"http://www.youtube.com/channel/UCk_tjclQAi5BYBjW2-qiPeQ"
"1192";"Radio Mrežnica";"Sports";446;280;519000;"2021-06-02";"http://www.youtube.com/channel/UCI6pKljX81g3vuK2SYj62rQ"
"1193";"Luka Rodiger";"People & Blogs";443;1;59200;"2020-12-29";"http://www.youtube.com/channel/UCcTuFWLzgzgqcX6DUsuZakA"
"1194";"ClaudioTheWarrior";"Entertainment";441;563;58800;"2021-06-20";"http://www.youtube.com/channel/UCQCvvFlNszfeedywXHmSOCg"
"1195";"Maya Talbot";"Music";441;52;47300;"2021-03-01";"http://www.youtube.com/channel/UCNQZBOn1ZgN3onjK5wyKt_A"
"1196";"JOZATHEMAN";"Entertainment";437;242;38400;"2021-04-27";"http://www.youtube.com/channel/UCw3Bu8ReZqIIwssMsSx9myA"
"1197";"Radovic Roberto";"Music";432;6;86200;"2017-09-21";"http://www.youtube.com/channel/UC6C_r6H2mkAQ39zT-qmbltg"
"1198";"GROLE grozdanic";"Music";429;95;322000;"2021-05-17";"http://www.youtube.com/channel/UC4etYk4NegxtqNPj9v6ccAw"
"1199";"5kylord";"Gaming";418;372;141000;"2021-05-01";"http://www.youtube.com/channel/UCz0WSqA-RjzXxILgd6bpKNA"
"1200";"Dolores - Amanti Alea";"Education";417;40;25700;"2021-03-22";"http://www.youtube.com/channel/UC73fYyZiEnbCYhVG40fObVA"
"1201";"Kroatien für Auswanderer";"Travel & Events";417;59;50700;"2021-05-01";"http://www.youtube.com/channel/UCBoNbtwfqoCryddV60mOrTg"
"1202";"High Voltage";"Science & Technology";416;34;20000;"2021-05-16";"http://www.youtube.com/channel/UCFvfbJnT723gnr8k82D8Dxg"
"1203";"Enver Palaliæ";"News & Politics";414;483;494000;"2021-05-15";"http://www.youtube.com/channel/UC0ph8kNFPxb8cSzVRpn_Oag"
"1204";"Begi";"Gaming";413;1534;47300;"2021-05-12";"http://www.youtube.com/channel/UCCpRmwm9Khes3fky055KQvQ"
"1205";"baczx9r";"Autos & Vehicles";412;212;416000;"2021-06-23";"http://www.youtube.com/channel/UCP_5TFxgZnVzpc5CIrNichw"
"1206";"strx prod.";"Music";401;2;292;"2021-04-21";"http://www.youtube.com/channel/UC_co6ac3HhGo_o2i9cva6Jg"
"1207";"zeDoSauRus";"Education";396;177;57600;"2021-01-15";"http://www.youtube.com/channel/UC4i1XuAxd7aob-d0vC0ZrUQ"
"1208";"Dean Dvornik";"Music";395;46;300000;"2021-05-09";"http://www.youtube.com/channel/UC4VumGzwG8CrYNaZglwceKg"
"1209";"Goran VON Karkin";"Music";392;120;41700;"2021-04-21";"http://www.youtube.com/channel/UCy-zeQ9ky3D82o7mC0WzWEA"
"1210";"Gabriel UFO <U+30C4>";"Education";386;19;23800;"2021-02-19";"http://www.youtube.com/channel/UCTBTZaFo8YwJib1mOhlXmXg"
"1211";"KenLock Trailers";"Gaming";378;64;20300;"2021-02-17";"http://www.youtube.com/channel/UCFVwdfOHliHXdutq4t4mR_g"
"1212";"Duje Boroviæ";"Entertainment";377;20;46300;"2020-12-06";"http://www.youtube.com/channel/UCSsCFkAlasQeWEZwJXjFWFw"
"1213";"LAW PUBG";"Gaming";376;77;5600;"2021-05-20";"http://www.youtube.com/channel/UCmVJaW9dgMRoSQmX7TuOtDA"
"1214";"Phil Drake";"Music";370;485;134000;"2021-06-13";"http://www.youtube.com/channel/UCvUzIRXG9hn-OHI2p91vchg"
"1215";"Omiš Guitar fest";"Music";370;131;149000;"2021-02-19";"http://www.youtube.com/channel/UComjnvXjKdNjAJK5gHWxqEg"
"1216";"Pajo";"Gaming";365;181;18300;"2021-05-09";"http://www.youtube.com/channel/UCrlrO9M7Sxwfo0T42INRWyg"
"1217";"Money Collection Review";"Education";362;179;32200;"2021-05-12";"http://www.youtube.com/channel/UCQw2nCpf2x1N_Y1c5AETtZA"
"1218";"Croatia Dashcam";"Autos & Vehicles";353;65;59800;"2021-06-03";"http://www.youtube.com/channel/UChnX8DQEerCI1tNI8hDSD_Q"
"1219";"Saab Railfan310";"Autos & Vehicles";352;486;136000;"2021-05-13";"http://www.youtube.com/channel/UCN3k3Pk5BGgdPk2hF9B1T6w"
"1220";"Tús Nua";"Music";348;18;65200;"2020-01-23";"http://www.youtube.com/channel/UCL5wZ4ssuaNtbVZrI27t8Ow"
"1221";"Zvona ZG Nadbiskupije";"People & Blogs";347;192;178000;"2021-06-12";"http://www.youtube.com/channel/UCE6Y1QATEjYp6szvMakIOlw"
"1222";"womriezz";"Film and Animation";346;37;12400;"2021-02-12";"http://www.youtube.com/channel/UCMEe2p8CMfZbtSX2BnA3gGg"
"1223";"PajoX";"Gaming";340;16;726;"2020-12-28";"http://www.youtube.com/channel/UCj5DXY7yxMBvpraZb5pA5CA"
"1224";"Ivo Ozic";"Music";337;323;458000;"2021-02-10";"http://www.youtube.com/channel/UC4gDtBpKUDcE2FFTm-ETWyw"
"1225";"Petar Razoviæ music channel";"Music";335;303;87800;"2021-05-28";"http://www.youtube.com/channel/UCeUBZFZyQIK3JrNlvt-JQgg"
"1226";"RedRabbit";"Gaming";334;90;5830;"2021-02-27";"http://www.youtube.com/channel/UCv9pujLze_W05NQX7dMi0Og"
"1227";"Burnich";"Education";334;104;24600;"2021-03-24";"http://www.youtube.com/channel/UCSAuF6mxeJfPG8psriPMXVQ"
"1228";"Magdalena Snježana Košta";"Music";334;87;306000;"2021-02-18";"http://www.youtube.com/channel/UC6VKtovZbohHn4_DN2fycCQ"
"1229";"Dashcam Croatia";"Autos & Vehicles";331;291;192000;"2021-04-15";"http://www.youtube.com/channel/UCawOB6pv7pXyK6S7giSvkLg"
"1230";"Marko Beciæ";"Music";330;337;336000;"2021-04-04";"http://www.youtube.com/channel/UC8ibMOk-2fU3zy2K_OfSiuw"
"1231";"PC Advices";"Gaming";325;50;343000;"2021-02-25";"http://www.youtube.com/channel/UCmjnP4tRxcjiwyajbCvwtzQ"
"1232";"HDS RecordingPlusScore";"Music";324;134;57300;"2021-05-16";"http://www.youtube.com/channel/UCx1IKaReRc2_mMmEhhoOlnQ"
"1233";"98976h";"Travel & Events";322;90;659000;"2020-11-29";"http://www.youtube.com/channel/UCIcTPP6WIxskc-QCRtBRFdw"
"1234";"Classic Games to Play Collection";"Gaming";319;981;26700;"2021-04-24";"http://www.youtube.com/channel/UCq-17vvBvWyaxCcH49-JQvg"
"1235";"Nez Studio";"Music";317;50;286000;"2021-02-02";"http://www.youtube.com/channel/UCW7gG8mbQeIjJZHjuAr7cXw"
"1236";"Aleksandar KraljiÄ<U+0087>";"Autos & Vehicles";312;87;22100;"2021-05-16";"http://www.youtube.com/channel/UC-KxKuel9JebwIm8WEym5NA"
"1237";"Capoeira Luandae";"Education";309;283;491000;"2021-04-02";"http://www.youtube.com/channel/UC19FT9IVj1NZPFR2itNKIbQ"
"1238";"K98postman";"Gaming";304;213;86400;"2021-05-19";"http://www.youtube.com/channel/UC3juUvixhgXYPiLuqaHCO_w"
"1239";"Kynoi";"Gaming";300;44;14400;"2021-04-17";"http://www.youtube.com/channel/UCz7BBH05yIwwa-mK58tOysw"
"1240";"Luka, Toni i Johnny";"Gaming";298;101;27600;"2021-05-13";"http://www.youtube.com/channel/UCCgQUxRWgZqIIzDcU2B9dag"
"1241";"Sasha Mihalik";"Music";294;156;53700;"2021-05-28";"http://www.youtube.com/channel/UCVf-rxCba0XnTlm-z3OPdbA"
"1242";"TEA CRAZY";"Gaming";293;211;9080;"2020-12-26";"http://www.youtube.com/channel/UCA9lAa3dqMa4UPw_pe24Y_A"
"1243";"Vrabo";"Music";290;171;18300;"2021-04-09";"http://www.youtube.com/channel/UCyy40xQLIZx-Cavmki_MUkQ"
"1244";"SiniA!a Bosanac";"People & Blogs";286;634;174000;"2021-05-11";"http://www.youtube.com/channel/UCIKtwP3p10Ci3wRkFYiZTpw"
"1245";"Ntl Ntl";"Film and Animation";268;321;1850000;"2021-05-11";"http://www.youtube.com/channel/UCy9Y-KjoiWzYHGdRzxjMsgA"
"1246";"Shatro Jack";"Gaming";264;241;11200;"2021-05-19";"http://www.youtube.com/channel/UCoIPS3pHvHgfumTM0qupWug"
"1247";"HA1-Trains-Croatia";"Autos & Vehicles";262;97;34000;"2021-05-20";"http://www.youtube.com/channel/UC7ynwu3TVXZNUeDl57QeFww"
"1248";"Fister PC";"Entertainment";260;32;55400;"2021-01-05";"http://www.youtube.com/channel/UCITnDn2VZfSRLRFs1U_smBg"
"1249";"Saša Škoriæ";"Music";257;359;1000000;"2021-04-07";"http://www.youtube.com/channel/UCfQhaB4aezEx3NchGUm-pPw"
"1250";"Ivan";"Gaming";257;98;18500;"2021-04-04";"http://www.youtube.com/channel/UCFuTwRuoT_iWaKYC4I3HAwg"
"1251";"Ivan Burin";"Science & Technology";256;99;386000;"2021-04-22";"http://www.youtube.com/channel/UCg3rqyiIjMIwPjdt41wDBPg"
"1252";"Arry Gaming";"Gaming";252;42;13400;"2021-05-01";"http://www.youtube.com/channel/UCcWledPxHwsSNGTSvP8-OxQ"
"1253";"nikolasmetisko";"Entertainment";248;38;11500;"2021-04-25";"http://www.youtube.com/channel/UCTyQ3mUTLqvVU-QBKHTveJQ"
"1254";"CroTubeX";"Music";248;76;53300;"2021-05-22";"http://www.youtube.com/channel/UCGqrYxXEIQqANQ2KNM_ewew"
"1255";"Gizi Brat <U+30C4>";"Gaming";246;12;1840;"2021-04-12";"http://www.youtube.com/channel/UCGUf3iStTO9E2Yq9109F9fg"
"1256";"JackXGaming";"Gaming";242;383;9860;"2021-04-20";"http://www.youtube.com/channel/UC0kXBJL9ZAH5k27udvxGBjA"
"1257";"7smilles<U+0001F92D>";"Music";241;199;36600;"2021-06-18";"http://www.youtube.com/channel/UCYATeZwLo5aqZMUkZQq-BsA"
"1258";"PeopleCallMeLucifer";"People & Blogs";239;1388;15100;"2021-05-15";"http://www.youtube.com/channel/UCzCuUvQrRCrwXQClWkBowTg"
"1259";"dsulic PC - Drago";"Travel & Events";239;105;33600;"2021-05-06";"http://www.youtube.com/channel/UC1TuDtPtLExu-MFfNr5rXTw"
"1260";"Tare";"Music";229;11;2050;"2021-03-18";"http://www.youtube.com/channel/UC3Hyjfew5qfP5Pe0ZO9XkSQ"
"1261";"Arnold Stankovic";"People & Blogs";225;121;9150;"2021-05-13";"http://www.youtube.com/channel/UCrpUe7cA99jTMprvjQrMsdQ"
"1262";"SHOOTME FILMS";"People & Blogs";223;18;125000;"2021-05-01";"http://www.youtube.com/channel/UCUIBM1gqdtu0UYA-er0LpDQ"
"1263";"Ognjen Mihoviliæ - Oggy";"Music";221;32;30500;"2021-03-21";"http://www.youtube.com/channel/UCLrOOS5e9XY30klB6deWikQ"
"1264";"Masacubec";"Gaming";218;650;34900;"2021-05-16";"http://www.youtube.com/channel/UCJKloCf8SrcXmkCAfezgUFA"
"1265";"Roko Staniæ";"Gaming";213;282;40500;"2021-02-08";"http://www.youtube.com/channel/UCTLu2bIb1qiZu10uG-iuUig"
"1266";"FootballGamingYT";"Gaming";212;651;44000;"2021-05-20";"http://www.youtube.com/channel/UCkPlZXvzAhWgaJbkylLhRdQ"
"1267";"<U+5B89><U+5FB7><U+70C8>";"Gaming";211;32;1090;"2021-04-24";"http://www.youtube.com/channel/UCeeP-8hI-Xnq2jGgopS4zMA"
"1268";"Andrej Grozdanov";"Music";210;28;18300;"2021-05-01";"http://www.youtube.com/channel/UCsdYn7CLx0an4njDEWpOSnQ"
"1269";"Tina";"Gaming";207;505;74500;"2021-05-01";"http://www.youtube.com/channel/UC4IqFBge6sOOIu-dLyt25DA"
"1270";"KWSHrvatska";"People & Blogs";207;128;143000;"2021-05-27";"http://www.youtube.com/channel/UCzq6eOC_HooUaOC6nzoVq4Q"
"1271";"El CONEJO 7w7";"Gaming";205;18;4320;"2021-05-12";"http://www.youtube.com/channel/UCgBNy7PjI2TSn4eDo1qIA0Q"
"1272";"moki fort";"Gaming";205;61;2030;"2021-06-12";"http://www.youtube.com/channel/UCWfySI-8fMJ7SUFvNSDqYMg"
"1273";"imjustthere";"Entertainment";204;92;41200;"2021-03-24";"http://www.youtube.com/channel/UCkB70NI2t_Ii0gNgXBbQ7QA"
"1274";"Zeptoid";"Film and Animation";201;53;18300;"2021-02-08";"http://www.youtube.com/channel/UCz8BVSlZmpvPWUnMEEgvW5Q"
"1275";"Dorchian";"Gaming";200;3;208;"2021-04-05";"http://www.youtube.com/channel/UCdhapzc6wcTpFtYwlpvseZw"
"1276";"Nivec";"Gaming";198;67;9040;"2021-04-19";"http://www.youtube.com/channel/UCV9xGk3A8O1AI5tT0mpriAQ"
"1277";"MAX113";"Music";196;30;241000;"2021-01-26";"http://www.youtube.com/channel/UCGegCBkgrRk3BW8O5fwb1kg"
"1278";"ROBG_Team";"Gaming";193;50;5490;"2021-03-21";"http://www.youtube.com/channel/UCY1WbEKf1AlwOnYtet13StQ"
"1279";"Toni's RC";"People & Blogs";191;43;12600;"2021-05-03";"http://www.youtube.com/channel/UC9Blgr7xm0WXd4MZQ_7GiFg"
"1280";"Marin Adric";"People & Blogs";190;37;54400;"2021-05-07";"http://www.youtube.com/channel/UCYw5NeHrABdSsHQyYskpGDQ"
"1281";"Visit Omis";"People & Blogs";184;27;142000;"2020-12-05";"http://www.youtube.com/channel/UC3RUqzx4Aqc0xga9WptkFhQ"
"1282";"taris";"Autos & Vehicles";183;53;112000;"2021-04-29";"http://www.youtube.com/channel/UCKm8uIKiWp34D_mZKJGiQlg"
"1283";"loui boon";"Comedy";179;193;91400;"2021-04-09";"http://www.youtube.com/channel/UCBKVg_TeAoWfsrp1W0j3xWQ"
"1284";"Bookworm Dreams";"People & Blogs";174;230;10800;"2021-05-15";"http://www.youtube.com/channel/UCNjn4L08QpVl81MUYsj-gDA"
"1285";"Crypto Edy";"People & Blogs";169;11;14800;"2018-01-30";"http://www.youtube.com/channel/UCCHHvReX-PsxQn545aHEt_Q"
"1286";"A1MALA KING";"People & Blogs";168;230;24300;"2021-05-20";"http://www.youtube.com/channel/UCWV-B8HhDXTEaOp_N8hjQzQ"
"1287";"Deni Ä<U+008C>op Music";"Music";166;10;56000;"2021-04-17";"http://www.youtube.com/channel/UCxfkqwc_fFAH09hQYifyBtQ"
"1288";"Matteo Bancic";"Gaming";164;41;28200;"2021-04-01";"http://www.youtube.com/channel/UCEsVIRGka4zAwZAb-rxZH3w"
"1289";"Alen Zmaj";"Gaming";163;1152;55500;"2021-05-26";"http://www.youtube.com/channel/UCbdQ51Y8ua8StmBANqATQqw"
"1290";"ZUHJ Dany";"Gaming";162;110;14700;"2021-04-06";"http://www.youtube.com/channel/UCK-dAoEZ07IU2y8yMFt5eow"
"1291";"MARKO AKALOVIÄ<U+0086>";"Entertainment";161;90;49100;"2021-05-15";"http://www.youtube.com/channel/UCW71p_Rg505c3H42uw3G8zA"
"1292";"Koordinacija Hrvatske Obiteljske Medicine PGA1";"Nonprofits & Activism";160;115;23800;"2021-01-17";"http://www.youtube.com/channel/UCM8iS8s6T1l92TG7L2jAveA"
"1293";"KorÄ<U+008D>ula AMV Entertainment";"Film and Animation";159;60;5380;"2021-04-01";"http://www.youtube.com/channel/UClE6aEcwsGwsr10KDUdVDzg"
"1294";"Sluzbenice Milosrda";"Entertainment";157;25;64900;"2020-12-04";"http://www.youtube.com/channel/UC3l8rmaG3yY-d6e2Mgu0jHg"
"1295";"SVEMIX SX SPLIT";"Entertainment";156;61;18600;"2021-03-08";"http://www.youtube.com/channel/UCdA-1MSfO8U8RFNVYnFFwLA"
"1296";"MrGeesikser";"Autos & Vehicles";156;144;256000;"2021-04-23";"http://www.youtube.com/channel/UC7U7gOO7GW9YOcp55oxrh9g"
"1297";"Count Zero Records";"Music";154;189;14000;"2021-04-23";"http://www.youtube.com/channel/UChJeIxQRDwlmHzXUJ_RodMw"
"1298";"Oliver Dragojeviæ Tribute Channel";"Music";150;22;21100;"2020-12-07";"http://www.youtube.com/channel/UC5Gjvzdpw1Vx98TjuWEkxxQ"
"1299";"Andrej Bogoviæ";"People & Blogs";144;15;2440;"2021-03-27";"http://www.youtube.com/channel/UCJzn-QOBupcif1wKmaUVuvA"
"1300";"DjareOnSunshinePop";"Gaming";143;127;12000;"2021-05-17";"http://www.youtube.com/channel/UC11gU6nle8RyOYPgyFwgNTQ"
"1301";"Hella Ella";"Gaming";142;2;157;"2021-02-08";"http://www.youtube.com/channel/UCqLAc8vX1ccdzegBLz7_XTQ"
"1302";"D3xZ3R";"Gaming";140;17;7380;"2021-01-18";"http://www.youtube.com/channel/UCXjoL7XxfYHjIzSG7P62MHw"
"1303";"tai";"People & Blogs";139;26;1820;"2021-05-08";"http://www.youtube.com/channel/UCHB765mirDlxslIRAb-4Lfw"
"1304";"ICEY";"Music";135;36;24600;"2021-05-08";"http://www.youtube.com/channel/UCHX3WaFzpIAhOAVn4Hbpgxw"
"1305";"Skuba Drums";"Music";134;204;120000;"2021-04-11";"http://www.youtube.com/channel/UCVzcCnnj12Zip34qNm3R3LQ"
"1306";"CJISV";"Gaming";132;41;3530;"2021-05-09";"http://www.youtube.com/channel/UCcfPEb1Z9nhgE4kCaLUG7_A"
"1307";"Plane Informer";"Autos & Vehicles";131;67;12700;"2021-05-21";"http://www.youtube.com/channel/UC-xI4AZ40taI_je3GTAocQw"
"1308";"Dominik Šuša";"Gaming";129;138;11700;"2021-05-09";"http://www.youtube.com/channel/UC02-mRB-RR6Y6OFhfLEXHnQ"
"1309";"Grad Osijek";"News & Politics";126;68;26500;"2021-03-09";"http://www.youtube.com/channel/UC-ae5VO9WlBa5GfqPxI_IuQ"
"1310";"CroatiArt";"Music";126;14;9230;"2021-03-10";"http://www.youtube.com/channel/UCFAuqdEX5eaD7grINDlfmNA"
"1311";"B&B Kuæa Bajlo, Zadar Kroatië";"Travel & Events";125;22;4960;"2021-02-27";"http://www.youtube.com/channel/UCfcpEOAarXLaVzfGzdcqxxQ"
"1312";"Koopa The New Guy";"People & Blogs";124;132;5110;"2021-04-21";"http://www.youtube.com/channel/UCNkd3dSa6We_UApGJ3x_a_Q"
"1313";"sinycrophotography";"People & Blogs";124;51;14400;"2021-04-23";"http://www.youtube.com/channel/UCIS2U0WfaYG_SxfcQvWL36g"
"1314";"Dubravko Jajetic";"Gaming";123;324;6270;"2021-05-22";"http://www.youtube.com/channel/UCoNQTqGkEJQa5CDKWR5hVxw"
"1315";"macosa sedamjedandvajedan";"Autos & Vehicles";123;59;23400;"2021-03-26";"http://www.youtube.com/channel/UCUtJ8VH2F4R8Mqg8fIWYVJw"
"1316";"kju star";"Gaming";120;8;45;"2021-04-22";"http://www.youtube.com/channel/UCoqBKKhsUMUbtSNYciHyy3Q"
"1317";"Lovreli";"Science & Technology";119;61;19900;"2021-05-07";"http://www.youtube.com/channel/UCL13-jAUvb02dVJwiQLketw"
"1318";"Lord Noa Super Show";"Gaming";119;178;10000;"2021-05-14";"http://www.youtube.com/channel/UCC8Lb3RuFnIsm4PtCTnhMPQ"
"1319";"Ivan Ivec";"People & Blogs";115;26;7940;"2021-05-01";"http://www.youtube.com/channel/UCT0xeH3mXMLpOB7NWOiq62w"
"1320";"Djoz";"Gaming";111;64;933;"2021-03-27";"http://www.youtube.com/channel/UCFTWpUp9lR1DixIh-jAMTLw"
"1321";"Falcone";"Gaming";110;20;23200;"2020-12-30";"http://www.youtube.com/channel/UCOs1hL4EXZAaUXOKWLFu_8A"
"1322";"RP Performance";"Autos & Vehicles";107;108;115000;"2021-04-29";"http://www.youtube.com/channel/UCCczzQhyIONxGQ4vPR7OkBA"
"1323";"Luka";"Gaming";107;25;8870;"2021-04-23";"http://www.youtube.com/channel/UCyK98m6wZwBD1m6LcqYArwA"
"1324";"Davor Vrban - ZYNAPS VMX";"Music";103;35;7720;"2021-05-01";"http://www.youtube.com/channel/UCFmUp-97rHkwGk65kRVE4WQ"
"1325";"Jure187";"Autos & Vehicles";100;15;23100;"2021-04-09";"http://www.youtube.com/channel/UCTNV69QgzZfZBc0Z4qqg4aw"
"1326";"Radit";"Entertainment";98;5;67;"2021-01-30";"http://www.youtube.com/channel/UCh8V8lXDbfb836KdfunLs-A"
"1327";"HrcoGG";"Gaming";90;231;27200;"2021-05-26";"http://www.youtube.com/channel/UCZfgKujG2pS750e16M9xYzw"
