id	title	description	publishedAt	defaultLanguage	country	viewCount	subscriberCount	videoCount
UCFuTwRuoT_iWaKYC4I3HAwg	Ivan		2019-08-12T08:44:41Z		HR	21333	260	109
UCg3rqyiIjMIwPjdt41wDBPg	"Ivan Burin"	BURIN	2007-02-06T13:00:02Z		HR	486658	337	109
UCcWledPxHwsSNGTSvP8-OxQ	"Arry Gaming"	"Hello! Welcome to my channel! "	2015-01-10T20:16:06Z		HR	80649	346	68
UCTyQ3mUTLqvVU-QBKHTveJQ	nikolasmetisko	"sub if u want"	2017-05-02T12:39:53Z		HR	14896	259	41
UCGqrYxXEIQqANQ2KNM_ewew	CroTubeX	"Dobrodosli na kanal, uzivajte uz muziku i mnostvo drugih sadrzaja"	2014-09-12T14:38:11Z		HR	87419	599	119
UCGUf3iStTO9E2Yq9109F9fg	GiziBratツ		2017-07-12T20:35:07Z		HR	4549	314	29
UC0kXBJL9ZAH5k27udvxGBjA	JackXGaming	"Uzivajte u videjima"	2016-05-09T12:28:51Z		HR	10177	238	386
UCYATeZwLo5aqZMUkZQq-BsA	7smilles🎧	"My name is Dominic.I'm from Croatia 🇭🇷 . 🇭🇷 Croatia Time🇭🇷 Time difference to GMT/UTC Standard time zone: UTC/GMT +1:00 hour Daylight saving time: +1:00 hour Current time zone offset: UTC/GMT +2:00 hours Time zone abbreviation: CEST 👻You can send me your song suggestions on Instagram, in a direct message on Instagram.👻 🎧Strictly forbidden!!!⚠️It is forbidden to copy my Lyrics videos to other people's channels!🎧 Enjoy our music.Subscribe for more Lyrics videos.You can also find the videos in the saved watch list ""My Lyrics Playlist"". Please, Subscribe to my amazing & Awesome Channel.Share my YouTube channel for Your family, Friends & others. Thank you👑👍🔥🎛️ Copyright issues? Contact me on Instagram: 7smilles 13/8/2020 (100 subscribers) 15/4/2021 (200 subscribers) 07/10/2021 (300 subsribers) ?(400 subscribers) ? (500subscribers) "	2019-03-01T15:39:58Z		HR	72844	380	332
UCzCuUvQrRCrwXQClWkBowTg	"People Call It Poetry"	"I Like poetry, so expect a lot of that. I love editing and to work on that I need footage of some kind, so I record gaming videos .... I think that's basically it ________________________ Carrd for a prettyer list of my socials https://peoplecallitpoetry.carrd.co I wrote a book https://poetrycorner.creator-spring.com/listing/things-i-think-and-do You can commission me or just donate to me over Ko-Fi https://ko-fi.com/peoplecallitpoetry https://ko-fi.com/peoplecallitpoetry/commissions I primarily post my poems on Tapas (lovely community you won't regret it) https://tapas.io/series/People-call-it-poetry- if you are a poet yourself you can get some good feedback on allpoetry https://allpoetry.com/Pcm%20Lucifer I'm on Instagram https://www.instagram.com/peoplecallmelucifer/?hl=hr Tumblr https://www.tumblr.com/blog/peoplecallitpoetry and TikTok https://www.tiktok.com/@peoplecallmelucifer?lang=en "	2016-10-02T18:32:17Z		HR	16649	252	1457
UC1TuDtPtLExu-MFfNr5rXTw	"Radio Kupljenovo"	"Svijet glazbe zabave i sporta Ovaj kanal namijenjen je zbivanju i događanju iz kulture zabave i sporta. Videoprikazi te osobne zabilješke iz navedene skupine."	2009-06-22T17:58:52Z		HR	61586	314	145
UC3Hyjfew5qfP5Pe0ZO9XkSQ	Tare	"Pozddrrrraaav , ovdje domiq !"	2014-01-08T08:42:11Z		HR	4944	228	16
UCrpUe7cA99jTMprvjQrMsdQ	"Arnold Balkan"	"2.27.2001 Facebook.Arnold kola Love Dance/Dubstep"	2018-11-21T16:43:06Z		HR	9849	223	125
UCUIBM1gqdtu0UYA-er0LpDQ	"SHOOTME FILMS"	"I'm photographer | videographer , sharing my travel experiences with passion and love. ►INSTAGRAM: https://bit.ly/2LsPyke ►FACEBOOK: https://bit.ly/2uzRBJV Collaboration 📬 For business inquiries contact me here : shootmephotovideography@gmail.com"	2010-02-20T15:04:43Z		HR	174373	310	22
UCLrOOS5e9XY30klB6deWikQ	Ogi	"Hi! My I 'm Oggy. I am a composer, videographer and creator of royalty free stock footage and free stock music for media, TV, internet, broadcasting. Check out my Artist page at: POND 5 https://www.pond5.com/artist/trainedmonkey SHUTTERSTOCK https://www.shutterstock.com/g/Trained+Monkey/video and download my free stock footage and free stock music for your projects! Welcome, subscribe, comment and enjoy the videos. #freestockfootage #freestockmusic "	2010-08-07T10:27:11Z		HR	37388	250	32
UCJKloCf8SrcXmkCAfezgUFA	Masacubec	"Na ovom kanalu imam svašta, od snimanja i strimanja igrica do neko najava, glupiranja i sl. Nadam se da Uživate u gledanju mojih videa . Volio bi da me podržite i u videu i u ostalim stvarim koje radim ovdje na ovom kanau, ako imate neke prijedlog. Pišite u komentare."	2015-07-01T07:05:01Z		HR	71146	259	673
UCTLu2bIb1qiZu10uG-iuUig	"Roko Stanić"	"Ja sam Roko, ili Stanke. Imam 18 godina, živim u Hrastini, mjesto blizu Samobora, a Hrvatska. Na ovom kanalu bi snimao uglavnom, fifu, koja je aktualna, možda tu i tam bude koji drugi video, al ovo će bit, kak i ime kanala kaže kanal za fifu najviše. Tu i tam će sa mnom snimat i moj burki, pa da, nadam se da će vam se sviđat sadržaj i da ćete uživat. Igre ću najviše snimat na PS4, a možda bude i koji klip s kompa. Snimat ću na hrvatskom, jer ima gro stranih, a malo našim fifa yt-a. PS4 acc je ""jurastnc7"", pa dodajte za friendly. ;) Mail: rokostanic19@gmail.com FB stranica: https://www.facebook.com/Stanke-FIFA-Tip Instangram: https://www.instagram.com/stanke_fifa/?hl=hr Twitter: https://twitter.com/StankeAnd -Steam: https://steamcommunity.com/profiles/76561198182195505 -Origin: jurastnc7 -Uplay: jurastnc7 -Social club: jurastnc7 -Kul fifa kanal: https://www.youtube.com/channel/UC8cilnvA9zvS617T1mgAhCQ -Bratov kanal: https://www.youtube.com/channel/UCZTi-0BgNEJlnQxvlluCNbA"	2013-08-04T20:03:02Z		HR	41994	212	289
UCkPlZXvzAhWgaJbkylLhRdQ	FootballGamingYT	"Hi "	2019-05-12T18:10:22Z		HR	3948	209	51
UCeeP-8hI-Xnq2jGgopS4zMA	Andrej		2017-07-16T05:25:27Z		HR	0	202	0
UCsdYn7CLx0an4njDEWpOSnQ	"Andrej Grozdanov"	"Presenting Andrej Grozdanov worship guitarist."	2019-12-10T17:50:35.654925Z		HR	31127	313	33
UC4IqFBge6sOOIu-dLyt25DA	Tina	"Pokemon games, me drawing in photoshop and some other games. DA: http://selina99999.deviantart.com/"	2009-07-16T12:30:51Z		HR	93557	233	596
UCzq6eOC_HooUaOC6nzoVq4Q	KWSHrvatska	"Tvrtka KWS je jedan od svjetskih lidera u području sjemenarstva. Zahvaljujući kvaliteti naših proizvoda stekli smo odanost i povjerenje velikog broja poljoprivrednih proizvođača u Europi i svijetu, te na temelju toga više od 150 godina izvrsnog partnerstva, suradnje i uspjeha. Izuzetno smo ponosni što Vam možemo predstaviti nove KWS proizvode za Republiku Hrvatsku. Vrhunska genetika i najviši standard kvalitete sjemena naših hibrida i sorti šećerne repe, kukuruza, uljane repice, krumpira i suncokreta koje smo do danas postigli, rezultat su dugogodišnjeg rada na selekciji i oplemenjivanju bilja. Neka KWS hibridi nove generacije i na vašim gospodarstvima pokrenu eru napretka i uspjeha."	2011-07-19T09:13:15Z		HR	418383	253	146
UCgBNy7PjI2TSn4eDo1qIA0Q	"El CONEJO 7w7"	"Hola soy Jonathan flores y tengo 18 años y mido 1.54 por desgracia y soy de México tijuana me uni a youtube con el único propósito de compartir mis videos y lo que hacia y mis 2 únicas metas era alos 300 subs mostrar mi cara y llegar ala unica sifra de 2000 subs :) si te gustaría jugar conmigo mi id de ps es El conejo-43 Por si quieres chatear o nose lo que se te ocurra Mi face https://www.facebook.com/profile.php?id=100025931613438 Metas personales: 1.arreglar mi cuarto tipo gamer ❌ 2.tener una almohada de astolfo y uno 3 poster ➖ 3.Alos 21 salirme di mi casa vivir solo ❌(dudo mucho que lo haga) 4. Cger un trapo ❌ (dudo mucho que lo haga también) 5.tener novia fiel❌ 6.aprender ingles bien y tocar guitarra ➖ 7.aprender que cocinar ➖ 8.nadar✅"	2016-07-12T04:36:21Z		HR	5167	204	34
UCWfySI-8fMJ7SUFvNSDqYMg	mokiFN	"Pozdrav svima ja sam mokiFN svi mozete igrati volim igrati fortnite sa svima i fasion show u vb DONACIJE SU UVIJEK MOGUCE ALI ko donirate nema REFONDA (NATRAG) https://paypal.me/MarkoMaeko?country.x=HR&locale.x=en_US"	2019-05-17T20:34:52Z		HR	16909	299	196
UCkB70NI2t_Ii0gNgXBbQ7QA	imjustthere		2016-02-05T17:11:10Z		HR	73337	249	92
UCz8BVSlZmpvPWUnMEEgvW5Q	Zeptoid	"Professional Intro Designer since 2017. "	2019-08-19T20:08:12Z		HR	279	212	1
UCdhapzc6wcTpFtYwlpvseZw	Dorchian	"Samo jedan 14-Godišnjak koji se sjeti snimat jednom mjesećno. "	2016-01-18T10:38:53Z		HR	344	183	4
UCV9xGk3A8O1AI5tT0mpriAQ	"Humanity Souls"	"random guy who talks about Dark Souls and makes music"	2011-03-28T16:21:16Z		HR	0		0
UCGegCBkgrRk3BW8O5fwb1kg	MAX113		2009-10-07T21:56:59Z		HR	283719	244	31
UCY1WbEKf1AlwOnYtet13StQ	ROBG_Team	"Mi smo samostalna organizacija koja se bavi zabavljanjem i obrazovanjem svih generacija, posebno mladjih, pre svega ovo radimo iz ljubavi, nije nam bitna zarada, tezimo tome da nasmejemo i one najnamrgodjenije i da malo pokrenemo mladima vijuge da pocnu razmisljati svojom glavom, ne da budu zavisni od uticaja medija i lose obrazovnog programa koji se plasira u TV medijima, jos jednom da napomenem mi smo samostalna organizacija koja se sastoji od nekolicine youtubera koji ovaj posao rade vec neki niz godina, uglavnom smo se svi upoznali preko tog youtube i odatle su krenula razna prijateljstva, zasto ovo kazem i naglasavam, u nasoj organizaciji ima Srba, Hrvata, Bosanaca i Hercegovaca itd, nasa organizacija je pre svega antinacionalisticka, antirasisticka, antireligiska, za sve koji ne razumete ovo da uprostimo, jednostavno ne gledamo koje ste nacije vere ili boje i rase, svi su dobrodosli, nas glavni moto je ""SVI SMO MI LJUDI, RETKO KO JE COVEK"", ovo vam je u osnovici najbitnije sto bi"	2019-08-17T12:19:43Z		HR	5989	181	52
UC9Blgr7xm0WXd4MZQ_7GiFg	"Toni's RC"	"Rc videos , lego , stopmotion video , hotwheels and more!"	2017-05-25T12:49:08Z		HR	29291	245	61
UCYw5NeHrABdSsHQyYskpGDQ	"Marin Adric"		2011-04-21T10:37:25Z		HR	60171	199	41
UC3RUqzx4Aqc0xga9WptkFhQ	"Visit Omis"	"Welcome to the official YouTube channel of CITY OF OMIŠ TOURIST BOARD! If your perfect vacation includes a dose of adrenaline, then Omiš is definitely the right choice for you. There is hardly a sea, water, mountain or air activity not offered in the greater Omiš area. There is a reason why the two or three weeks you are going to spend on the Adriatic are called holidays. Rest and relaxation at the beach or in other words swimming and sunbathing, are the favourite activities of most tourists on summer vacation. Luckily, Omiš offers almost endless possibilities in this aspect, too. The greatest opportunities for an active holiday are provided precisely by the unspoiled nature of the Cetina canyon, which has enjoyed the status of protected significant landscape ever since 1963."	2015-02-16T09:37:48Z		HR	224252	298	32
UCKm8uIKiWp34D_mZKJGiQlg	taris		2007-05-20T17:15:32Z		HR	179070	326	56
UCBKVg_TeAoWfsrp1W0j3xWQ	"loui boon"	🌛🌜🌝🌗🌒🌘🌓🌎🌍🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏⭐️🌈🌧🌨🌩	2010-04-05T10:51:36Z		HR	95121	187	197
UCNjn4L08QpVl81MUYsj-gDA	"Bookworm Dreams"	"Hi! We are Maja and Kristina, two good friends that love to talk about books. Maja loves sci-fi and fantasy, especially urban fantasy and dragons, while Kristina is still finding herself, but focuses on fantasy and romance. To all who found this channel, we hope you stay and enjoy our videos. We appreciate all of you. We will try our best to find new ways to keep you interested. :)"	2018-10-07T12:27:45Z	en	HR	15302	191	305
